"","","","","","",""
"2036246","MARRICKVILLE","16/10/2023","15:10 PM","62","62","Environmental"
"2036247","CANTERBURY","16/10/2023","15:10 PM","65","116","Equipment fault"
"2036254","HORNSBY","16/10/2023","15:10 PM","433","139","Environmental"
"2036290","BANKSTOWN","16/10/2023","16:10 PM","1639","400","Environmental"
"2036302","HORNSBY","16/10/2023","16:10 PM","101","89","Environmental"
"2036307","WYONG","16/10/2023","16:10 PM","13501","70","Equipment fault"
"2036328","WYONG","16/10/2023","16:10 PM","103","190","Environmental"
"2036281","WILLOUGHBY","16/10/2023","16:10 PM","68","97","Equipment fault"
"2036389","NEWCASTLE","16/10/2023","17:10 PM","90","77","Environmental"
"2036367","PORT STEPHENS","16/10/2023","18:10 PM","51","20","Environmental"
"2036368","LAKE MACQUARIE","16/10/2023","18:10 PM","56","120","Environmental"
"2036462","MARRICKVILLE","16/10/2023","19:10 PM","2021","108","Equipment fault"
"2036618","LAKE MACQUARIE","17/10/2023","12:10 PM","497","314","Environmental"
"2036648","SOUTH SYDNEY","17/10/2023","13:10 PM","66","125","Environmental"
"2036698","MAITLAND","17/10/2023","18:10 PM","72","72","Vandalism"
"2036935","HORNSBY","18/10/2023","20:10 PM","1166","46","Environmental"
"2037068","RANDWICK","19/10/2023","16:10 PM","61","207","Equipment fault"
"2037206","RYDE","20/10/2023","12:10 PM","60","389","Third party"
"2037266","KU-RING-GAI","20/10/2023","18:10 PM","1073","106","Environmental"
"2037295","NORTH SYDNEY","21/10/2023","6:10 AM","101","158","Equipment fault"
"2037339","PORT STEPHENS","21/10/2023","10:10 AM","81","169","Environmental"
"2037384","CANTERBURY","21/10/2023","16:10 PM","3902","57","Equipment fault"
"2037493","HURSTVILLE","22/10/2023","10:10 AM","56","217","Environmental"
"2037522","KU-RING-GAI","22/10/2023","16:10 PM","1024","53","Equipment fault"
"2037526","SCONE","22/10/2023","16:10 PM","851","454","Environmental"
"2037512","LAKE MACQUARIE","22/10/2023","17:10 PM","62","84","Equipment fault"
"2037532","BANKSTOWN","22/10/2023","17:10 PM","56","182","Environmental"
"2037546","WYONG","22/10/2023","19:10 PM","68","52","Environmental"
"2037561","KU-RING-GAI","22/10/2023","22:10 PM","698","62","Environmental"
"2037637","PORT STEPHENS","23/10/2023","9:10 AM","2206","62","Third party"
"2037763","BANKSTOWN","23/10/2023","22:10 PM","1231","94","Equipment fault"
"2037867","SUTHERLAND","24/10/2023","13:10 PM","1240","76","Equipment fault"
"2037914","SOUTH SYDNEY","24/10/2023","15:10 PM","175","39","Equipment fault"
"2037933","CESSNOCK","24/10/2023","16:10 PM","412","564","Environmental"
"2037958","WARRINGAH","24/10/2023","17:10 PM","1259","37","Equipment fault"
"2037956","NEWCASTLE","24/10/2023","17:10 PM","65","72","Equipment fault"
"2037969","HURSTVILLE","24/10/2023","18:10 PM","83","111","Equipment fault"
"2037973","LANE COVE","24/10/2023","18:10 PM","56","59","Environmental"
"2038003","RANDWICK","24/10/2023","22:10 PM","68","175","Equipment fault"
